"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"sponsors",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stage",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"team",0,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"than",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"thank",0,0.0275000037420789,0,0,0,0,0,0,0,0,0.021951757373063,0,0,0,0,0,0.0133111720240914
"that",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"today",0,0.0229391521016521,0,0,0,0.0331343308134975,0,0,0,0,0,0,0,0.0719814772844945,0,0.0994029924404924,0
"together",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"two",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"want",0,0.0339281630906631,0,0,0,0,0.0428814283506992,0,0,0,0,0,0,0,0,0,0
"weeks",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"when",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yesterday",0,0.0449171740796741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"you",0,0.0119501411126411,0.0397852258994027,0.0402764015277903,0,0.0172613149404816,0.0151036505729214,0,0,0,0.0190782954605323,0.0241658409166742,0,0,0,0,0.00578437681516138
"are",0,0,0.0430618230820238,0.0326950878956107,0,0.0560487221067612,0.024521315921708,0,0,0,0,0,0,0,0,0,0.0187822845357764
"back",0,0,0.0996942156402522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"best",0,0,0.0376519858689066,0,0,0,0,0,0,0,0,0,0.0490073466865133,0,0,0,0
"break",0,0,0.0996942156402522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"catch",0,0,0.0376519858689066,0,0,0,0,0,0,0,0,0,0.0490073466865133,0,0,0,0
"continue",0,0,0.0996942156402522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"courtesy",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"day",0,0,0.0376519858689066,0,0,0,0.0428814283506992,0,0,0,0,0,0,0,0,0,0
"eager",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"education",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"everyone",0,0,0.0610365936714435,0.0463425988986886,0,0,0,0,0,0.0141384200029897,0,0,0,0,0,0,0
"families",0,0,0.0376519858689066,0,0,0,0.0428814283506992,0,0,0,0,0,0,0,0,0,0
"family",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"first",0,0,0.0254568639176871,0,0,0,0,0,0,0,0.0183110775548275,0,0.0331343308134975,0.0719814772844945,0,0,0
"good",0,0,0.0915548905071652,0,0,0,0,0,0,0,0,0,0,0,0.0521354237610247,0,0.0133111720240914
"guide",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hope",0,0,0.0915548905071652,0,0,0,0.0347569491740164,0,0,0,0,0,0.0397222276274474,0,0,0,0
"impart",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inspire",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"its",0,0,0.0305182968357217,0,0,0.0397222276274474,0,0,0,0,0,0.0556111186784263,0,0,0,0,0
"last",0,0,0.0305182968357217,0,0,0,0,0.100100013621167,0,0,0,0,0.0397222276274474,0,0,0,0
"month",0,0,0.0376519858689066,0,0,0,0,0,0,0.01744329288842,0,0,0,0,0,0,0
"over",0,0,0.0305182968357217,0.0463425988986886,0,0,0,0,0,0.0141384200029897,0,0,0,0,0,0,0
"prepare",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"recharged",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"school",0,0,0.149541323460378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"schoolmates",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"skills",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"students",0,0,0.149541323460378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"teachers",0,0,0.0996942156402522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"them",0,0,0.0305182968357217,0,0,0,0,0,0,0,0.021951757373063,0,0,0,0,0,0.0266223440481828
"tomorrow",0,0,0.0254568639176871,0,0,0,0,0,0,0.0117935753742957,0,0,0.0331343308134975,0.0719814772844945,0,0,0
"tomorrows",0,0,0.0376519858689066,0,0,0,0,0,0,0,0,0,0.0490073466865133,0,0,0,0
"values",0,0,0.0498471078201261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wishing",0,0,0.0305182968357217,0,0,0,0,0.100100013621167,0,0,0.021951757373063,0,0,0,0,0,0
"work",0,0,0.0376519858689066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"your",0,0,0.150607943475626,0,0,0,0.0857628567013983,0,0,0,0,0,0,0,0,0,0
"ang",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"bishan",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"bishanang",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"come",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"dont",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"enjoy",0,0,0,0.0571752378009322,0,0,0,0,0,0.01744329288842,0,0,0,0,0,0,0
"environment",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"has",0,0,0,0.0386567192824137,0,0,0.0289925394618103,0,0,0,0.0183110775548275,0,0,0,0,0,0.0333105772539948
"highly",0,0,0,0.0571752378009322,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"island",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"kio",0,0,0,0.151387512638901,0,0,0,0,0,0,0,0,0,0,0,0,0
"largest",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"live",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"looking",0,0,0,0.0571752378009322,0,0,0,0,0,0,0,0,0.0490073466865133,0,0,0,0
"lots",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"lover",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"most",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"nature",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"one",0,0,0,0.0571752378009322,0,0,0.128644285052097,0,0,0,0,0,0,0,0,0,0
"park",0,0,0,0.227081268958352,0,0,0,0,0,0,0,0,0,0,0,0,0
"parks",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"popular",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"relax",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"something",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"somewhere",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"sports",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"tan",0,0,0,0.0386567192824137,0,0,0.0289925394618103,0,0.521865710312585,0,0,0,0,0,0.0434888091927154,0,0
"terence",0,0,0,0.0386567192824137,0,0,0.0289925394618103,0,0.521865710312585,0,0,0,0,0,0.0434888091927154,0,0
"urban",0,0,0,0.0756937563194507,0,0,0,0,0,0,0,0,0,0,0,0,0
"visitors",0,0,0,0.0571752378009322,0,0,0,0,0,0,0,0,0,0,0,0,0.0164226746875018
"whether",0,0,0,0.0571752378009322,0,0,0.0428814283506992,0,0,0,0,0,0,0,0,0,0
"chwee",0,0,0,0,1.36248761375011,0,0,0,0,0,0,0,0,0,0,0,0
"alternative",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"around",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"bak",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"bamboo",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"bit",0,0,0,0,0,0.0490073466865133,0,0,0,0.01744329288842,0,0,0,0,0,0,0
"boat",0,0,0,0,0,0.129760725119058,0,0,0,0,0,0,0,0,0,0,0
"brown",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"but",0,0,0,0,0,0.0397222276274474,0.0695138983480329,0,0,0,0,0,0,0,0,0,0.0133111720240914
"can",0,0,0,0,0,0.0794444552548947,0,0,0,0,0.021951757373063,0.0556111186784263,0,0,0,0,0
"delicious",0,0,0,0,0,0.0490073466865133,0,0,0,0.01744329288842,0,0,0,0,0,0,0
"developing",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"diabetes",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
"dragon",0,0,0,0,0,0.129760725119058,0,0,0,0,0,0,0,0,0,0,0
"dumplings",0,0,0,0,0,0.129760725119058,0,0,0,0,0,0,0,0,0,0,0
"feel",0,0,0,0,0,0.0648803625595292,0,0,0,0,0,0,0,0,0,0,0
